bike_id,brand,age_months,km_driven,owner_count,condition,mileage_kmpl,service_count,insurance,price_thousand,sold_in_week
B4344,Hero,60,26113.0,2,Good,53.1,4.0,No,12.0,Yes
B4387,Bajaj,78,63596.0,3,Good,34.0,2.0,Yes,12.0,Yes
B4219,Hero,108,80000.0,2,Fair,60.4,5.0,No,12.0,No
B4528,Honda,58,30004.0,1,Good,40.6,3.0,Yes,33.1,Yes
B4138,Hero,60,28159.0,1,Excellent,41.3,2.0,Yes,32.5,No
B4484,TVS,82,74049.0,1,Fair,56.0,3.0,Yes,12.0,No
B4544,Honda,17,12468.0,1,Good,51.6,2.0,No,66.8,No
B4406,Honda,62,16248.0,3,Good,28.6,2.0,Yes,15.3,Yes
B4184,Bajaj,88,49028.0,3,Excellent,60.8,3.0,Yes,12.0,Yes
B4324,Yamaha,47,31517.0,3,Good,67.0,,No,12.0,Yes
B4119,Bajaj,50,26606.0,2,Excellent,53.8,0.0,No,25.8,Yes
B4172,Honda,81,29881.0,1,Excellent,47.7,1.0,Yes,35.3,Yes
B4175,Hero,67,37799.0,2,Good,48.0,3.0,Yes,12.0,No
B4461,Royal Enfield,93,59270.0,2,Good,60.3,,No,19.0,Yes
B4364,TVS,53,21122.0,1,Excellent,25.3,1.0,No,32.2,No
B4140,Honda,117,62896.0,1,Excellent,42.7,2.0,No,12.0,Yes
B4482,Royal Enfield,4,3710.0,2,Fair,46.9,2.0,No,135.8,No
B4210,Hero,5,1627.0,2,Good,62.8,5.0,Yes,57.3,No
B4403,Royal Enfield,115,23187.0,1,Fair,42.6,1.0,No,12.0,Yes
B4505,TVS,89,33224.0,2,Excellent,45.6,4.0,No,12.0,Yes
B4148,Bajaj,48,28774.0,1,Good,56.6,1.0,No,21.1,No
B4118,Bajaj,17,9227.0,1,Fair,55.3,3.0,Yes,55.0,No
B4143,Yamaha,89,66955.0,3,Good,48.5,5.0,No,12.0,Yes
B4373,Hero,111,80000.0,2,Excellent,58.4,1.0,Yes,12.0,Yes
B4190,Bajaj,69,52649.0,1,Fair,51.9,2.0,Yes,12.0,No
B4473,Honda,5,4341.0,2,Fair,41.4,4.0,Yes,62.4,No
B4375,Royal Enfield,106,60584.0,1,Good,56.6,2.0,No,15.0,Yes
B4434,Hero,43,21544.0,1,Excellent,62.0,2.0,Yes,40.6,No
B4260,TVS,27,,1,Fair,49.2,3.0,Yes,45.7,No
B4214,Honda,70,35752.0,3,Good,33.9,2.0,No,12.9,No
B4428,Bajaj,4,3418.0,1,Good,58.7,5.0,Yes,77.8,No
B4168,Royal Enfield,117,52274.0,2,Good,41.0,3.0,Yes,12.0,Yes
B4315,Bajaj,93,49215.0,1,Good,54.5,0.0,Yes,12.0,Yes
B4231,Hero,110,80000.0,1,Fair,45.6,0.0,Yes,12.0,No
B4101,Honda,59,42815.0,3,Good,45.1,0.0,Yes,12.0,Yes
B4287,TVS,49,27428.0,1,Excellent,37.7,0.0,No,50.0,Yes
B4327,Royal Enfield,27,3404.0,2,Fair,53.1,4.0,No,97.9,No
B4278,Hero,18,12451.0,1,Excellent,65.4,2.0,Yes,68.0,No
B4427,Hero,28,18476.0,1,Excellent,37.7,5.0,Yes,54.9,No
B4281,Honda,90,46824.0,2,Good,56.5,3.0,Yes,12.0,Yes
B4233,Bajaj,112,47671.0,1,Good,52.4,,Yes,12.0,No
B4323,Hero,80,39697.0,2,Good,40.2,3.0,Yes,12.0,Yes
B4348,Hero,66,55292.0,1,Fair,37.5,3.0,Yes,12.0,No
B4383,Honda,8,5429.0,2,Good,,3.0,No,70.9,No
B4268,Yamaha,94,36605.0,2,Fair,59.7,3.0,Yes,12.0,Yes
B4435,Honda,23,12499.0,1,Excellent,38.7,1.0,Yes,61.8,No
B4363,Hero,4,2353.0,1,Excellent,37.4,2.0,Yes,81.7,No
B4242,Royal Enfield,38,26002.0,2,Excellent,46.4,5.0,Yes,89.9,Yes
B4345,Hero,25,9871.0,1,Excellent,53.5,,No,57.9,Yes
B4400,Bajaj,15,6952.0,1,Excellent,48.5,3.0,No,69.5,No
B4127,Honda,105,,2,Good,58.8,,Yes,12.0,Yes
B4238,Hero,106,63200.0,1,Good,63.8,2.0,No,12.0,Yes
B4463,TVS,37,35286.0,1,Excellent,42.9,1.0,Yes,42.2,No
B4189,Bajaj,59,52773.0,3,Excellent,50.5,4.0,Yes,12.0,Yes
B4517,Royal Enfield,67,43238.0,1,Excellent,31.9,2.0,Yes,53.3,Yes
B4123,Honda,39,20915.0,2,Good,35.7,2.0,Yes,27.3,Yes
B4196,Yamaha,76,64066.0,1,Excellent,46.2,,No,12.0,Yes
B4179,Bajaj,106,76781.0,3,Good,43.7,,No,12.0,No
B4530,Honda,110,80000.0,2,Good,52.6,2.0,No,12.0,Yes
B4292,Yamaha,26,18358.0,1,Fair,43.3,5.0,No,53.9,No
B4342,Hero,21,11193.0,1,Good,46.1,1.0,No,47.9,No
B4470,Honda,58,28237.0,2,Good,55.7,4.0,Yes,32.8,Yes
B4271,Honda,7,5617.0,2,Excellent,26.2,,Yes,70.2,Yes
B4426,Hero,83,80000.0,1,Excellent,48.9,5.0,No,12.0,Yes
B4167,TVS,78,60361.0,3,Excellent,,,No,12.0,Yes
B4245,Royal Enfield,20,11601.0,2,Good,51.8,1.0,Yes,120.7,No
B4508,Royal Enfield,82,53741.0,2,Good,44.5,4.0,No,23.7,Yes
B4546,TVS,70,38682.0,1,Fair,42.2,1.0,No,12.0,No
B4181,TVS,9,5933.0,1,Fair,58.9,0.0,No,48.8,No
B4331,TVS,57,35187.0,2,Good,30.0,3.0,Yes,12.0,Yes
B4137,TVS,7,4248.0,3,Good,48.8,1.0,Yes,66.3,No
B4430,Hero,113,57057.0,1,Good,52.4,1.0,Yes,12.0,Yes
B4485,Bajaj,90,,1,Good,59.5,4.0,No,12.0,No
B4240,Bajaj,11,516.0,1,Good,47.2,5.0,Yes,73.3,No
B4134,Hero,27,7136.0,2,Good,,3.0,Yes,35.5,Yes
B4488,Hero,88,52408.0,1,Good,42.0,3.0,Yes,12.0,Yes
B4225,Royal Enfield,13,8428.0,1,Good,55.3,1.0,Yes,148.9,No
B4336,Hero,65,40057.0,2,Good,36.5,1.0,No,12.0,Yes
B4401,Royal Enfield,74,52287.0,1,Good,49.9,1.0,Yes,42.1,Yes
B4516,Hero,85,21431.0,1,Excellent,57.7,3.0,Yes,26.7,Yes
B4353,TVS,112,69147.0,2,Excellent,,3.0,No,12.0,Yes
B4276,Yamaha,26,8695.0,1,Good,37.3,,Yes,61.9,No
B4192,Royal Enfield,40,8184.0,1,Good,43.5,3.0,No,96.4,Yes
B4209,Bajaj,19,14536.0,1,Good,51.8,,No,51.4,No
B4380,Bajaj,89,60749.0,3,Excellent,29.4,1.0,Yes,12.0,Yes
B4438,Hero,45,32451.0,3,Good,61.3,2.0,Yes,20.1,No
B4171,Hero,18,5174.0,1,Good,51.3,2.0,Yes,42.4,No
B4261,Hero,10,6638.0,1,Good,44.3,3.0,No,53.8,No
B4432,Hero,35,13171.0,2,Fair,25.2,5.0,Yes,21.0,No
B4369,Yamaha,45,37989.0,2,Good,63.8,,No,31.4,No
B4539,Royal Enfield,57,33339.0,1,Excellent,40.1,,Yes,64.1,Yes
B4437,Bajaj,99,55980.0,1,Good,53.9,3.0,No,12.0,No
B4191,Hero,34,14745.0,1,Fair,49.2,1.0,Yes,32.8,No
B4180,TVS,31,20400.0,1,Good,48.5,0.0,Yes,41.3,No
B4291,Yamaha,120,80000.0,2,Good,56.0,3.0,Yes,12.0,Yes
B4509,Bajaj,103,24095.0,1,Fair,51.1,1.0,No,12.0,Yes
